# CPU usage percentage recorded during a production incident.
# Scenario: normal baseline -> spike -> sustained high -> recovery -> baseline.
# Exported from VictoriaMetrics via /api/v1/export.
timestamp,cpu_percent
1700000000,12.3
1700000010,14.1
1700000020,13.8
1700000030,15.2
1700000040,14.7
1700000050,13.5
1700000060,14.9
1700000070,15.0
1700000080,16.1
1700000090,18.4
1700000100,24.7
1700000110,38.5
1700000120,56.2
1700000130,71.8
1700000140,83.4
1700000150,89.1
1700000160,92.7
1700000170,95.3
1700000180,94.8
1700000190,96.1
1700000200,95.5
1700000210,93.7
1700000220,94.2
1700000230,95.0
1700000240,92.8
1700000250,90.1
1700000260,85.4
1700000270,78.9
1700000280,67.3
1700000290,52.1
1700000300,41.6
1700000310,33.2
1700000320,27.8
1700000330,23.1
1700000340,19.5
1700000350,17.2
1700000360,15.8
1700000370,14.6
1700000380,13.9
1700000390,14.2
1700000400,13.7
1700000410,14.0
1700000420,13.5
1700000430,14.3
1700000440,13.8
1700000450,14.1
1700000460,13.6
1700000470,14.4
1700000480,13.9
1700000490,14.0
