# System metrics recorded during a production incident.
# Columns: timestamp (epoch), cpu_percent, mem_percent, disk_io_mbps.
# Scenario: normal baseline -> spike -> sustained high -> recovery -> baseline.
timestamp,cpu_percent,mem_percent,disk_io_mbps
1700000000,12.3,45.2,5.1
1700000010,14.1,46.0,5.3
1700000020,13.8,45.8,5.0
1700000030,15.2,46.5,5.5
1700000040,14.7,47.0,5.2
1700000050,38.5,55.3,12.8
1700000060,56.2,62.1,25.4
1700000070,71.8,70.5,38.7
1700000080,83.4,78.2,52.1
1700000090,95.3,85.0,64.3
1700000100,94.8,84.5,63.0
1700000110,96.1,86.2,65.8
1700000120,92.8,82.1,58.4
1700000130,78.9,71.0,40.2
1700000140,52.1,58.5,22.0
1700000150,33.2,50.1,10.5
1700000160,19.5,47.0,6.2
1700000170,14.6,45.5,5.1
1700000180,13.9,45.3,5.0
1700000190,14.2,45.8,5.2
